PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	HMDB
304	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1549	LC/MS Polar	111	1619	103.04007	2068-83-9	87	C06001	HMDB00336
1409	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	32457	LC/MS Neg	100001112	5175	215.16526	53941-38-1	94216		HMDB00387
1406	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22001	LC/MS Neg	100000773	3446	159.10266	88930-08-9	26613		HMDB01954
4507	3-hydroxypyridine sulfate	Xenobiotics	Chemical	48448	LC/MS Neg	100006098	1595.5	173.98665	1955-23-3			
1408	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	31943	LC/MS Neg	100001145	1282	217.10814	73141-46-5	3017884		HMDB00350
1441	3-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	52938	LC/MS Neg	100008933	5674	299.25917	45261-96-9	5282907		
239	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	27672	LC/MS Neg	100000467	2222.2	212.0023	2642-37-7	10258		HMDB00682
3516	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	48763	LC/MS Neg	100006375	2163	218.99688				
153	3-methoxytyramine sulfate	Amino Acid	Tyrosine Metabolism	44618	LC/MS Neg	100004634	1722	246.04416				
151	3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	12017	LC/MS Pos Early	1342	2555	212.09174	300-48-1	1670		HMDB01434
3491	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	46165	LC/MS Neg	100004112	2790	203.00196				
299	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	44526	LC/MS Polar	100000936	911	115.04006	3715-29-5	49	C00141	HMDB00019
279	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	15676	LC/MS Neg	100000036	2064.2	129.05572	1460-34-0;51829-07-3	47	C00671	HMDB03736
263	3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	38667	LC/MS Polar	100002458	2700	143.03498	5746-90-7	1551553		HMDB00522
267	3-methylglutarylcarnitine (2)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	46548	LC/MS Pos Early	100005850	2675	290.15982		128145		HMDB00552
64	3-methylhistidine	Amino Acid	Histidine Metabolism	15677	LC/MS Neg	100000042	906.3	168.07785	368-16-1	64969	C01152	HMDB00479
3554	3-methylxanthine	Xenobiotics	Xanthine Metabolism	32445	LC/MS Neg	100001108	1700	165.0418	1076-22-8	70639	C16357	HMDB01886
3541	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	15749	LC/MS Neg	100000010	2860	149.0608	501-52-0	107	C05629	HMDB00764
3304	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	3155	LC/MS Pos Early	1053	875	133.06077	462-88-4	111	C02642	HMDB00026
396	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1558	LC/MS Pos Early	1113	1350	146.08117	3025-96-5	18189	C02946	HMDB03681
4044	4-acetamidophenol	Xenobiotics	Drug	12032	LC/MS Neg	1383	2173.7	150.05605	103-90-2	1983	C06804	HMDB01859
4045	4-acetamidophenylglucuronide	Xenobiotics	Drug	15736	LC/MS Neg	100000043	1400	326.08814	120595-80-4	83944		HMDB10316
4042	4-acetaminophen sulfate	Xenobiotics	Drug	37475	LC/MS Neg	2049	1792	230.01287	10066-90-7;32113-41-0	83939	C06804	HMDB59911
4064	4-acetylphenol sulfate	Xenobiotics	Drug	44620	LC/MS Neg	100000711	2375	215.00196		4684006		
3898	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	37181	LC/MS Neg	100001868	3805	213.0227				
2412	4-cholesten-3-one	Lipid	Sterol	38125	LC/MS Pos Late	100002227	2520	385.3465	601-57-0	91477	C00599	HMDB00921
3503	4-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36099	LC/MS Neg	100001756	3580	201.0227	123-07-9		C13637	
399	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos Early	100000096	2320	146.09241	463-003;463-00-3	500	C01035	HMDB03464
1422	4-HDoHE	Lipid	Fatty Acid, Monohydroxy	52947	LC/MS Neg	100008936	5394	343.22786	90906-40-4			
1454	4-hydroxy-2-nonenal	Lipid	Fatty Acid, Oxidized	38309	LC/MS Neg	143	4745	155.10775	75899-68-2;128946-65-6	1693		HMDB04362
1237	4-hydroxy-2-oxoglutaric acid	Lipid	Fatty Acid, Dicarboxylate	40062	LC/MS Polar	100002537	3073	161.00916	1187-99-1	599	C01127	HMDB02070
4501	4-hydroxychlorothalonil	Xenobiotics	Chemical	48441	LC/MS Neg	100006082	4427	244.90817	28343-61-5	34217		
4118	4-hydroxycoumarin	Xenobiotics	Drug	37445	LC/MS Neg	100002049	2470	161.02441	1076-38-6	54682930	C20414	
45	4-hydroxyglutamate	Amino Acid	Glutamate Metabolism	40499	LC/MS Pos Early	100002544	1141	164.05535	2485-33-8	439902	C03079	HMDB01344
3464	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	35527	LC/MS Neg	100001423	1475	194.04588	2482-25-9	151012		HMDB13678
119	4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	541	LC/MS Neg	144	1361.1	151.04007	156-38-7	127	C00642	HMDB00020
854	4-hydroxyphenylacetylglutamine	Peptide	Acetylated Peptides	55017	LC/MS Neg	100010850	1650	279.09864				
131	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	1669	LC/MS Neg	1141	1690.1	179.03498	156-39-8	979	C01179	HMDB00707
78	4-imidazoleacetate	Amino Acid	Histidine Metabolism	32349	LC/MS Pos Early	100001207	2055	127.05021	645-65-8	96215	C02835	HMDB02024
245	4-methyl-2-oxopentanoate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	22116	LC/MS Neg	100000551	2170	129.05571	816-66-0	70	C00233	HMDB00695
3493	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	46146	LC/MS Neg	100004111	2665	203.00196				
3926	4-vinylguaiacol sulfate	Xenobiotics	Food Component/Plant	48442	LC/MS Neg	100006126	3354	229.01761				
3504	4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	36098	LC/MS Neg	100001755	3320	199.00705	2628-17-3	6426766	C05627	HMDB04072
93	5-(galactosylhydroxy)-L-lysine	Amino Acid	Lysine Metabolism	43582	LC/MS Pos Early	100002462	2755	325.16055	32448-36-5			
3335	5,6-dihydrothymine	Nucleotide	Pyrimidine Metabolism, Thymine containing	1418	LC/MS Neg	158	1637.8	127.0513	696-04-8	93556	C00906	HMDB00079
3297	5,6-dihydrouracil	Nucleotide	Pyrimidine Metabolism, Uracil containing	1559	LC/MS Neg	1125	1120	113.03565	504-07-4	649	C00429	HMDB00076
3556	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34424	LC/MS Polar	100001403	1710	197.06801	1196153-01-1	88299	C16366	HMDB04400
3557	5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34401	LC/MS Polar	100001402	1424	225.06292	85438-96-6	108214	C16365	HMDB11105
2506	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	Lipid	Steroid	37186	LC/MS Neg	100002018	4925	371.18976				
2514	5alpha-androstan-3beta,17alpha-diol disulfate	Lipid	Steroid	37187	LC/MS Neg	100002021	4215	225.06965				
2516	5alpha-androstan-3beta,17beta-diol disulfate	Lipid	Steroid	37190	LC/MS Neg	100001987	3880	225.06965	571-20-0	242332	C12525	HMDB00493
2461	5alpha-pregnan-3(alpha or beta),20beta-diol disulfate	Lipid	Steroid	46172	LC/MS Neg	100002015	4310	239.0853		5127902		
2460	5alpha-pregnan-3beta,20alpha-diol disulfate	Lipid	Steroid	37198	LC/MS Neg	100001988	3962	239.0853				
2457	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	Lipid	Steroid	37200	LC/MS Neg	100002014	5060	399.22106				
2454	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	Lipid	Steroid	37196	LC/MS Neg	100002009	5180	399.22106				
241	5-bromotryptophan	Amino Acid	Tryptophan Metabolism	53242	LC/MS Neg	100009338	3525	280.99311		96735		
1102	5-dodecenoate (12:1n7)	Lipid	Medium Chain Fatty Acid	33968	LC/MS Neg	100001232	5224	197.1547	2430-94-6	5312378		HMDB00529
1510	5-HEPE	Lipid	Eicosanoid	46297	LC/MS Neg	100002135	5316	317.21221	83952-40-3	6439678		HMDB05081
1516	5-HETE	Lipid	Eicosanoid	37372	LC/MS Neg	100002137	5382	319.22786	73307-52-5	5280733	C04805	HMDB11134
1414	5-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	31938	LC/MS Neg	100001148	1267	131.07136	44843-89-2	170748		HMDB00525
237	5-hydroxyindole sulfate	Amino Acid	Tryptophan Metabolism	52914	LC/MS Neg	100009042	1928	212.0023				
222	5-hydroxyindoleacetate	Amino Acid	Tryptophan Metabolism	437	LC/MS Neg	71	1510.2	190.05096	54-16-0	1826	C05635	HMDB00763
92	5-hydroxylysine	Amino Acid	Lysine Metabolism	15685	LC/MS Pos Early	100000054	2790	163.10772	13204-98-3	1029	C16741	HMDB00450
167	5-hydroxymethyl-2-furoic acid	Amino Acid	Tyrosine Metabolism	42040	LC/MS Neg	100003954	962	141.01933	6338-41-6	80642	C20448	HMDB02432
1527	5-KETE	Lipid	Eicosanoid	48465	LC/MS Neg	1080	5372	317.21222	106154-18-1	5283159	C14732	HMDB10217
391	5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	1419	LC/MS Pos Early	212	2752	298.09684	2457-80-9	439176	C00170	HMDB01173
3290	5-methyluridine (ribothymidine)	Nucleotide	Pyrimidine Metabolism, Uracil containing	35136	LC/MS Neg	100001446	1778.1	257.07791	1463-10-1	445408		HMDB00884
410	5-oxoproline	Amino Acid	Glutathione Metabolism	1494	LC/MS Neg	1021	738.5	128.03531	98-79-3	7405	C01879	HMDB00267
4518	6-hydroxyindole sulfate	Xenobiotics	Chemical	48698	LC/MS Neg	100006260	2498	212.0023				
104	6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism	43231	LC/MS Neg	100004499	964.5	142.05096	34622-39-4	3014237		HMDB61705
2400	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Lipid	Sterol	36776	LC/MS Neg	100001609	5288.1	429.30103	115538-85-7	3081085	C17337	HMDB12458
2432	7-hydroxycholesterol (alpha or beta)	Lipid	Sterol	47890	LC/MS Pos Late	100005999	1930	367.33594		107722		HMDB06119
3256	7-methylguanine	Nucleotide	Purine Metabolism, Guanine containing	35114	LC/MS Pos Early	100001456	2175	166.07234	578-76-7	11361	C02242	HMDB00897
3548	7-methylurate	Xenobiotics	Xanthine Metabolism	39598	LC/MS Pos Early	100002241	1321	183.05127	612-37-3	69160	C16355	HMDB11107
3555	7-methylxanthine	Xenobiotics	Xanthine Metabolism	34390	LC/MS Pos Early	100001396	1350	167.05636	552-62-5	68374	C16353	HMDB01991
1447	9,10-DiHOME	Lipid	Fatty Acid, Dihydroxy	38399	LC/MS Neg	179	5180	313.23843	263399-34-4	9966640	C14828	HMDB04704
1439	9-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	47120	LC/MS Neg	100005834	5384	299.25917	25498-28-6	9570127		HMDB61661
3858	acesulfame	Xenobiotics	Food Component/Plant	48569	LC/MS Polar	100006203	756	161.98665	55589-62-3	36573		HMDB33585
1327	acetylcarnitine (C2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	32198	LC/MS Pos Early	100000802	2282	204.12304	5080-50-2	1	C02571	HMDB00201
387	acisoga	Amino Acid	Polyamine Metabolism	43258	LC/MS Neg	100004541	2297	183.1139	106692-36-8	129397		
1056	aconitate [cis or trans]	Energy	TCA Cycle	46173	LC/MS Neg	100001359	580	173.00916				
3221	adenine	Nucleotide	Purine Metabolism, Adenine containing	554	LC/MS Pos Early	880	2221	136.06178	73-24-5	190	C00147	HMDB00034
3220	adenosine	Nucleotide	Purine Metabolism, Adenine containing	555	LC/MS Pos Early	798	2169	268.10404	58-61-7	60961	C00212	HMDB00050
1238	adipate	Lipid	Fatty Acid, Dicarboxylate	21134	LC/MS Polar	100000863	3000	145.05063	124-04-9	196	C06104	HMDB00448
1350	adipoylcarnitine (C6-DC)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	52988	LC/MS Pos Early	100006614	2558	290.15982		71296139		HMDB61677
1159	adrenate (22:4n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	32980	LC/MS Neg	100001193	5678	331.26425	2091-25-0	5497181	C16527	HMDB02226
28	alanine	Amino Acid	Alanine and Aspartate Metabolism	1126	LC/MS Pos Early	811	1700	90.05496	56-41-7	5950	C00041	HMDB00161
3208	allantoin	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	1107	LC/MS Polar	1002	1672	157.03671	97-59-6	204	C02350	HMDB00462
3697	alliin	Xenobiotics	Food Component/Plant	41494	LC/MS Pos Early	100003473	1470	178.05324	556-27-4	87310	C08265	HMDB33592
3400	alpha-CEHC sulfate	Cofactors and Vitamins	Tocopherol Metabolism	47666	LC/MS Neg	100005972	3090	357.10134				
1395	alpha-hydroxycaproate	Lipid	Fatty Acid, Monohydroxy	37073	LC/MS Neg	100001723	1920	131.07136	6064-63-7	99824		HMDB01624
248	alpha-hydroxyisocaproate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	22132	LC/MS Neg	100000706	1840	131.07136	10303-64-7	83697	C03264	HMDB00746
280	alpha-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	33937	LC/MS Neg	100001300	1126	117.05571	600-37-3	99823		HMDB00407
323	alpha-ketobutyrate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	4968	LC/MS Polar	796	940	101.02442	600-18-0	58	C00109	HMDB00005
1060	alpha-ketoglutarate	Energy	TCA Cycle	528	LC/MS Polar	93	2700	145.01425	305-72-6;328-50-7;22202-68-2	51	C00026	HMDB00208
3389	alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	1561	LC/MS Pos Late	1105	2522	430.37818	59-02-9;10191-41-0	14985	C02477	HMDB01893
3213	adenosine 5'-monophosphate (AMP)	Nucleotide	Purine Metabolism, Adenine containing	32342	LC/MS Pos Early	209	1013	348.07037	149022-20-8	6083	C00020	HMDB00045
2521	andro steroid monosulfate (1)*	Lipid	Steroid	32827	LC/MS Neg	100002152	3871	383.1534			C04555	HMDB02759
2496	androstenediol (3alpha, 17alpha) monosulfate (2)	Lipid	Steroid	37207	LC/MS Neg	100002026	4712	369.17411				
2497	androstenediol (3alpha, 17alpha) monosulfate (3)	Lipid	Steroid	37209	LC/MS Neg	100002027	5180	369.17411				
2501	androstenediol (3beta,17beta) disulfate (1)	Lipid	Steroid	37202	LC/MS Neg	100001992	3740	224.06182		87120982	C04295	HMDB03818
2502	androstenediol (3beta,17beta) disulfate (2)	Lipid	Steroid	37203	LC/MS Neg	100001994	4065	224.0624		87120982	C04295	HMDB03818
2492	androstenediol (3beta,17beta) monosulfate (1)	Lipid	Steroid	37211	LC/MS Neg	100002028	4535	369.17411	521-17-5	13847309		HMDB03818
2493	androstenediol (3beta,17beta) monosulfate (2)	Lipid	Steroid	37210	LC/MS Neg	100002029	4500	369.17411				
2491	androsterone sulfate	Lipid	Steroid	31591	LC/MS Neg	100001073	5022	369.17411	2479-86-9	159663		HMDB02759
213	anthranilate	Amino Acid	Tryptophan Metabolism	4970	LC/MS Pos Early	1258	2606	138.05496	118-92-3	227	C00108	HMDB01123
908	arabinose	Carbohydrate	Pentose Metabolism	575	LC/MS Polar	828	1804.5	195.05103	28697-53-2	66308	C00216	HMDB00646
923	arabitol/xylitol	Carbohydrate	Pentose Metabolism	48885	LC/MS Polar	100006430	1932.4	151.0612		6912	C01904	
925	arabonate/xylonate	Carbohydrate	Pentose Metabolism	48255	LC/MS Polar	100006115	2700	165.04046				
1127	arachidate (20:0)	Lipid	Long Chain Fatty Acid	1118	LC/MS Neg	893	6240	311.29555	506-30-9	10467	C06425	HMDB02212
1158	arachidonate (20:4n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	1110	LC/MS Neg	229	5535	303.23295	506-32-1	444899	C00219	HMDB01043
1356	arachidonoylcarnitine (C20:4)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	57518	LC/MS Pos Late	100015837	1353	448.34215				
1391	arachidonoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	53261	LC/MS Pos Late	100009332	1390	390.33666				
1355	arachidoylcarnitine (C20)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	57513	LC/MS Pos Late	100015833	1512	456.40474				HMDB06460
373	argininate*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	57461	LC/MS Pos Early	100002769	2150	176.10297	157-07-3	160437		HMDB03148
343	arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1638	LC/MS Pos Early	231	2825	175.11896	1119-34-2	232	C00062	HMDB00517
4083	aripiprazole	Xenobiotics	Drug	52960	LC/MS Pos Late	100008941	1000	448.15531	129722-12-9	60795	D01164,C12564	HMDB05042
38	asparagine	Amino Acid	Alanine and Aspartate Metabolism	512	LC/MS Pos Early	917	1225	133.06077	70-47-3	6267	C00152	HMDB00168
34	aspartate	Amino Acid	Alanine and Aspartate Metabolism	443	LC/MS Pos Early	234	1165	134.04479	56-84-8	5960	C00049	HMDB00191
1249	azelate (nonanedioate)	Lipid	Fatty Acid, Dicarboxylate	18362	LC/MS Neg	2029	1276	187.09758	123-99-9	2266	C08261	HMDB00784
4034	azithromycin	Xenobiotics	Drug	52966	LC/MS Pos Late	100008963	918	749.51581	83905-01-5	2269	C06838	HMDB14352
1134	behenate (22:0)*	Lipid	Long Chain Fatty Acid	12125	LC/MS Neg	314	6745	339.32685	112-85-6	8215	C08281	HMDB00944
2259	behenoyl dihydrosphingomyelin (d18:0/22:0)*	Lipid	Sphingolipid Metabolism	57331	LC/MS Pos Late	100009026	3150	789.68441				HMDB12091
2262	behenoyl sphingomyelin (d18:1/22:0)*	Lipid	Sphingolipid Metabolism	48492	LC/MS Pos Late	100006294	3083	787.66876				HMDB12103
3470	benzoate	Xenobiotics	Benzoate Metabolism	15778	LC/MS Neg	100000008	1750	121.0295	65-85-0	243	C00180	HMDB01870
3305	beta-alanine	Nucleotide	Pyrimidine Metabolism, Uracil containing	55	LC/MS Pos Early	244	1905	90.05496	56-41-7;107-95-9	239	C00099	HMDB00056
51	beta-citrylglutamate	Amino Acid	Glutamate Metabolism	54923	LC/MS Neg	100003271	530	320.06232	73590-26-8	72715786	C20775	
3705	beta-cryptoxanthin	Xenobiotics	Food Component/Plant	57591	LC/MS Pos Late	100001977	2560	552.43257	472-70-8	6384256		HMDB33844
260	beta-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	12129	LC/MS Neg	1442	1027	117.05572	625-08-1	69362		HMDB00754
6	betaine	Amino Acid	Glycine, Serine and Threonine Metabolism	3141	LC/MS Pos Early	799	1064	118.08626	107-43-7	247	C00719	HMDB00043
3426	bilirubin (Z,Z)	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	43807	LC/MS Pos Late	1090	1840	585.27076	635-65-4	5280352	C00486	HMDB00054
3427	bilirubin (E,E)*	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	32586	LC/MS Pos Late	100001950	1045	585.27076	114-25-0	5315454		
3428	bilirubin (E,Z or Z,E)*	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	47886	LC/MS Pos Late	100001951	1265	585.27076		5799469		HMDB00488
3429	biliverdin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	2137	LC/MS Pos Late	250	1016	583.25512	55482-27-4;55482-27-4	5353439	C00500	HMDB01008
1306	butyrylcarnitine (C4)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32412	LC/MS Pos Early	100001054	2860	232.15434	25576-40-3	439829	C02862	HMDB02013
3559	caffeic acid sulfate	Xenobiotics	Xanthine Metabolism	53254	LC/MS Polar	100009337	1307	258.99179				HMDB41708
3543	caffeine	Xenobiotics	Xanthine Metabolism	569	LC/MS Pos Early	849	2106	195.08766	58-08-2	2519	C07481	HMDB01847
2415	campesterol	Lipid	Sterol	33997	LC/MS Pos Late	100001269	2873	383.36724	474-62-4	173183	C01789	HMDB02869
1098	caprate (10:0)	Lipid	Medium Chain Fatty Acid	1642	LC/MS Neg	888	5090.7	171.13905	112-37-8	2969	C01571	HMDB00511
1094	caproate (6:0)	Lipid	Medium Chain Fatty Acid	32489	LC/MS Neg	926	2713.7	115.07645	142-62-1	8892	C01585	HMDB00535
1096	caprylate (8:0)	Lipid	Medium Chain Fatty Acid	32492	LC/MS Neg	932	4362	143.10775	124-07-2	379	C06423	HMDB00482
4100	carbamazepine	Xenobiotics	Drug	37033	LC/MS Pos Late	100001933	880	237.10224	298-46-4	2554	D00252	HMDB14704
4101	carbamazepine 10,11-epoxide*	Xenobiotics	Drug	37020	LC/MS Pos Early	100002321	3020	253.09716	36507-30-9	2555	C07496	HMDB60658
53	carboxyethyl-GABA	Amino Acid	Glutamate Metabolism	40007	LC/MS Pos Early	100003260	2085	176.09174	02/03/4386	2572		HMDB02201
4052	carboxyibuprofen	Xenobiotics	Drug	43333	LC/MS Neg	100004171	1920	235.09758	15935-54-3	10444113		HMDB60564
1377	carnitine	Lipid	Carnitine Metabolism	15500	LC/MS Pos Early	100000007	1978	162.11247	461-05-2	10917	C00318	HMDB00062
3987	carotene diol (1)	Xenobiotics	Food Component/Plant	57635	LC/MS Pos Late	100015966	1720	568.42759				
3988	carotene diol (2)	Xenobiotics	Food Component/Plant	57636	LC/MS Pos Late	100015967	1904	568.42793				
3989	carotene diol (3)	Xenobiotics	Food Component/Plant	57637	LC/MS Pos Late	100015968	1948	568.42786				
3488	catechol sulfate	Xenobiotics	Benzoate Metabolism	35320	LC/MS Neg	100001605	1906	188.98631	4918-96-1	3083879		HMDB59724
4107	cephalexin 	Xenobiotics	Drug	57704	LC/MS Pos Early	100015899	3063	348.10126	15686-71-2	27447;6560168	D00263,C06895	HMDB14707
2350	ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*	Lipid	Ceramides	57440	LC/MS Pos Late	100015755	3920	594.58199				
2351	ceramide (d18:2/24:1, d18:1/24:2)*	Lipid	Ceramides	57443	LC/MS Pos Late	100015744	3858	646.6133				
1371	cerotoylcarnitine (C26)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	57516	LC/MS Pos Late	100015835	1649	540.49864				HMDB06347
4320	cetirizine	Xenobiotics	Drug	54745	LC/MS Pos Late	100009034	1052	389.16265	83881-51-0	2678	C07778	HMDB05032
202	C-glycosyltryptophan	Amino Acid	Tryptophan Metabolism	48782	LC/MS Pos Early	100006379	2700	367.14998	180509-18-6	10981970		
2577	chenodeoxycholate	Lipid	Primary Bile Acid Metabolism	1563	LC/MS Neg	1123	5264	391.28538	474-24-9;474-25-9	10133	C02528	HMDB00518
1566	chiro-inositol	Lipid	Inositol Metabolism	37112	LC/MS Polar	100001859	3191.2	225.06159	643-12-9		C19891	HMDB34220
2574	cholate	Lipid	Primary Bile Acid Metabolism	22842	LC/MS Neg	136	5165	407.28029	81-25-4	221493	C00695	HMDB00619
2390	cholesterol	Lipid	Sterol	63	LC/MS Pos Late	266	2707	369.35159	57-88-5	11025495	C00187	HMDB00067
1593	choline	Lipid	Phospholipid Metabolism	15506	LC/MS Pos Early	1256	1961	104.10699	67-48-1	305	C00114	HMDB00097
3731	cinnamoylglycine	Xenobiotics	Food Component/Plant	38637	LC/MS Neg	100002253	3127	204.06661	16534-24-0	709625		HMDB11621
1336	cis-4-decenoylcarnitine (C10:1)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	38178	LC/MS Pos Late	100002259	1057	314.23259	98930-66-6			
70	cis-urocanate	Amino Acid	Histidine Metabolism	40410	LC/MS Neg	100003425	1200	137.03565	7699-35-6	1549103		HMDB34174
58	citramalate	Amino Acid	Glutamate Metabolism	22158	LC/MS Pos Early	100000998	1224	166.071	08/10/6236	1081	C00815	HMDB00426
1054	citrate	Energy	TCA Cycle	1564	LC/MS Neg	1124	582	191.01973	77-92-9	311	C00158	HMDB00094
351	citrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	2132	LC/MS Pos Early	391	1520	176.10297	372-75-8	9750	C00327	HMDB00904
2474	cortisol	Lipid	Steroid	1712	LC/MS Neg	356	4713.2	361.20204	50-23-7	5754	C00735	HMDB00063
2479	cortisone	Lipid	Steroid	1769	LC/MS Neg	273	4572.5	359.18639	53-06-5	222786	C00762	HMDB02802
3560	cotinine	Xenobiotics	Tobacco Metabolite	553	LC/MS Pos Early	848	2213	177.10224	486-56-6	854019		HMDB01046
375	creatine	Amino Acid	Creatine Metabolism	27718	LC/MS Pos Early	1221	1947	132.07676	57-00-1	586	C00300	HMDB00064
376	creatinine	Amino Acid	Creatine Metabolism	513	LC/MS Pos Early	275	2055	114.06619	60-27-5	588	C00791	HMDB00562
409	cys-gly, oxidized	Amino Acid	Glutathione Metabolism	18368	LC/MS Pos Early	1224	2947	355.07406	7729-20-6	333293		
322	cystathionine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	15705	LC/MS Pos Early	310	2270	223.07471	535-34-2	439258	C02291	HMDB00099
324	cysteine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	1868	LC/MS Pos Early	800	1488	122.02703	52-90-4;56-89-3	5862	C00097	HMDB00574
329	cysteine s-sulfate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	22176	LC/MS Neg	100000808	640.9	199.96928	1637-71-4	115015	C05824	HMDB00731
334	cysteine sulfinic acid	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	37443	LC/MS Pos Early	100002113	597	154.01686	207121-48-0	109	C00606	HMDB00996
405	cysteine-glutathione disulfide	Amino Acid	Glutathione Metabolism	35159	LC/MS Pos Early	100001437	2465	427.09519	13081-14-6	4247235		HMDB00656
408	cysteinylglycine	Amino Acid	Glutathione Metabolism	35637	LC/MS Pos Early	278	2132	179.0485	19246-18-5	439498	C01419	HMDB00078
330	cystine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	56	LC/MS Pos Early	279	2000	241.03113	56-89-3	67678	C00491	HMDB00192
3314	cytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	514	LC/MS Neg	827	1325	242.07824	65-46-3	6175	C00475	HMDB00089
3315	cytosine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	573	LC/MS Pos Early	881	2060	112.05054	71-30-7	597	C00380	HMDB00630
3929	daidzein sulfate (2)	Xenobiotics	Food Component/Plant	48728	LC/MS Neg	100006363	3330	333.00756				
1334	decanoylcarnitine (C10)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	33941	LC/MS Pos Late	100001251	1130	316.24824	1492-27-9	10245190		HMDB00651
2484	dehydroisoandrosterone sulfate (DHEA-S)	Lipid	Steroid	32425	LC/MS Neg	100000792	4745	367.15846	651-48-9	12594	C04555	HMDB01032
3393	delta-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	33418	LC/MS Pos Late	100001216	2259	402.3492	119-13-1	92094	C14151	HMDB02902
