COMPID	CHEMNAME	CHEMPATH
54946	oleoyl-oleoyl-glycerol (18:1/18:1) [2]*	Diacylglycerol
45095	2-methylbutyrylcarnitine (C5)	Leucine, Isoleucine and Valine Metabolism
17799	ibuprofen	Drug
21134	adipate	Fatty Acid, Dicarboxylate
52449	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Phosphatidylinositol (PI)
52452	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Phosphatidylcholine (PC)
15500	carnitine	Carnitine Metabolism
48341	1-dihomo-linolenylglycerol (20:3)	Monoacylglycerol
48386	stearoyl-arachidonoyl-glycerophosphocholine (1)*	Lysolipid
1605	ursodeoxycholate	Secondary Bile Acid Metabolism
43374	indolin-2-one	Food Component/Plant
54964	linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*	Diacylglycerol
48715	eugenol sulfate	Food Component/Plant
1302	methionine	Methionine, Cysteine, SAM and Taurine Metabolism
15586	maltose	Glycogen Metabolism
32198	acetylcarnitine (C2)	Fatty Acid Metabolism(Acyl Carnitine)
36803	3beta,7alpha-dihydroxy-5-cholestenoate	Sterol
35305	1-palmitoyl-GPI (16:0)	Lysophospholipid
40410	cis-urocanate	Histidine Metabolism
32586	bilirubin (E,E)*	Hemoglobin and Porphyrin Metabolism
1359	oleate (18:1n9)	Long Chain Fatty Acid
34407	isovalerylcarnitine (C5)	Leucine, Isoleucine and Valine Metabolism
37196	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	Steroid
57511	linolenoylcarnitine (C18:3)*	Fatty Acid Metabolism(Acyl Carnitine)
3155	3-ureidopropionate	Pyrimidine Metabolism, Uracil containing
37200	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	Steroid
37073	alpha-hydroxycaproate	Fatty Acid, Monohydroxy
53254	caffeic acid sulfate	Xanthine Metabolism
17805	dihomo-linoleate (20:2n6)	Polyunsaturated Fatty Acid (n3 and n6)
19260	1-oleoyl-GPS (18:1)	Lysolipid
33587	eicosenoate (20:1)	Long Chain Fatty Acid
35433	beta-hydroxyisovaleroylcarnitine	Leucine, Isoleucine and Valine Metabolism
1365	myristate (14:0)	Long Chain Fatty Acid
33997	campesterol	Sterol
40469	N1-Methyl-2-pyridone-5-carboxamide	Nicotinate and Nicotinamide Metabolism
37175	21-hydroxypregnenolone monosulfate (2)	Steroid
31932	propionylglycine	Fatty Acid Metabolism (also BCAA Metabolism)
22114	indoleacrylate	Food Component/Plant
52974	glycochenodeoxycholate sulfate	Primary Bile Acid Metabolism
43239	S-allylcysteine	Food Component/Plant
44872	gamma-glutamylmethionine	Gamma-glutamyl Amino Acid
2829	N-formylmethionine	Methionine, Cysteine, SAM and Taurine Metabolism
22116	4-methyl-2-oxopentanoate	Leucine, Isoleucine and Valine Metabolism
34396	choline phosphate	Phospholipid Metabolism
46223	linoleoylcarnitine (C18:2)*	Fatty Acid Metabolism(Acyl Carnitine)
15681	4-guanidinobutanoate	Guanidino and Acetamido Metabolism
38165	palmitoyl ethanolamide	Endocannabinoid
33946	N-acetylhistidine	Histidine Metabolism
57443	ceramide (d18:2/24:1, d18:1/24:2)*	Ceramides
1105	linoleate (18:2n6)	Polyunsaturated Fatty Acid (n3 and n6)
38170	pregnenolone sulfate	Steroid
42381	gamma-CEHC glucuronide*	Tocopherol Metabolism
56	cystine	Methionine, Cysteine, SAM and Taurine Metabolism
38625	stearoyl ethanolamide	Endocannabinoid
48391	palmitoyl-oleoyl-glycerophosphoglycerol (2)*	Lysolipid
48258	1-oleoyl-GPC (18:1)	Lysophospholipid
27447	1-linoleoylglycerol (18:2)	Monoacylglycerol
46297	5-HEPE	Eicosanoid
541	4-hydroxyphenylacetate	Phenylalanine Metabolism
52435	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	Sphingolipid Metabolism
42420	erythronate*	Aminosugar Metabolism
31530	threonylphenylalanine	Dipeptide
15716	imidazole lactate	Histidine Metabolism
32390	N-acetyltyrosine	Tyrosine Metabolism
52614	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	Plasmalogen
34445	sphingosine 1-phosphate	Sphingolipid Metabolism
37432	N-acetyl-beta-alanine	Pyrimidine Metabolism, Uracil containing
39592	S-methylcysteine	Methionine, Cysteine, SAM and Taurine Metabolism
52984	3-hydroxybutyrylcarnitine (2)	Fatty Acid Metabolism(Acyl Carnitine)
52282	2-methylcitrate/homocitrate	TCA Cycle
45415	3-(3-hydroxyphenyl)propionate sulfate	Benzoate Metabolism
36847	2-ethylphenylsulfate	Benzoate Metabolism
40719	(15:0)-anacardic acid	Food Component/Plant
52710	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Phosphatidylcholine (PC)
36754	octadecanedioate	Fatty Acid, Dicarboxylate
42092	N-palmitoylglycine	Fatty Acid Metabolism(Acyl Glycine)
48752	3-methoxycatechol sulfate (2)	Benzoate Metabolism
37201	5alpha-pregnan-3alpha,20beta-diol disulfate 1	Steroid
1110	arachidonate (20:4n6)	Polyunsaturated Fatty Acid (n3 and n6)
35628	1-oleoyl-GPE (18:1)	Lysophospholipid
32980	adrenate (22:4n6)	Polyunsaturated Fatty Acid (n3 and n6)
37372	5-HETE	Eicosanoid
48499	stearoyl-linoleoyl-glycerophosphoethanolamine (1)*	Lysolipid
40506	1-(3-aminopropyl)-2-pyrrolidone	Chemical
34398	glycylleucine	Dipeptide
52477	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	Plasmalogen
36602	1-oleoyl-GPI (18:1)*	Lysophospholipid
39601	homocitrate	Food Component/Plant
40008	isoleucylglycine	Dipeptide
31609	N1-methylguanosine	Purine Metabolism, Guanine containing
22132	alpha-hydroxyisocaproate	Leucine, Isoleucine and Valine Metabolism
39831	eicosanodioate	Fatty Acid, Dicarboxylate
6146	2-aminoadipate	Lysine Metabolism
37253	2-hydroxyglutarate	Fatty Acid, Dicarboxylate
57453	glycosyl ceramide (d18:2/24:1, d18:1/24:2)*	Ceramides
48728	daidzein sulfate (2)	Food Component/Plant
32328	hexanoylcarnitine (C6)	Fatty Acid Metabolism(Acyl Carnitine)
63	cholesterol	Sterol
33968	5-dodecenoate (12:1n7)	Medium Chain Fatty Acid
2137	biliverdin	Hemoglobin and Porphyrin Metabolism
47101	N-methylpipecolate	Chemical
577	fructose	Fructose, Mannose and Galactose Metabolism
15990	glycerophosphorylcholine (GPC)	Phospholipid Metabolism
52616	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	Phosphatidylcholine (PC)
44620	4-acetylphenol sulfate	Drug
32497	10-undecenoate (11:1n1)	Medium Chain Fatty Acid
45966	1-stearoyl-GPS (18:0)*	Lysophospholipid
18254	paraxanthine	Xanthine Metabolism
18497	taurocholate	Primary Bile Acid Metabolism
57	glutamate	Glutamate Metabolism
37529	sphingomyelin (d18:1/18:1, d18:2/18:0)	Sphingolipid Metabolism
38178	cis-4-decenoylcarnitine (C10:1)	Fatty Acid Metabolism(Acyl Carnitine)
37752	13-HODE + 9-HODE	Fatty Acid, Monohydroxy
1471	ribose	Pentose Metabolism
42087	indoleacetylglutamine	Tryptophan Metabolism
1118	arachidate (20:0)	Long Chain Fatty Acid
42027	histidylalanine	Dipeptide
53010	lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	Ceramides
54966	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*	Diacylglycerol
31912	glycolithocholate	Secondary Bile Acid Metabolism
35253	2-palmitoyl-GPC (16:0)*	Lysophospholipid
57518	arachidonoylcarnitine (C20:4)	Fatty Acid Metabolism(Acyl Carnitine)
15650	N1-methyladenosine	Purine Metabolism, Adenine containing
1497	ethanolamine	Phospholipid Metabolism
38293	13-methylmyristic acid	Fatty Acid, Branched
36747	deoxycarnitine	Carnitine Metabolism
32457	3-hydroxylaurate	Fatty Acid, Monohydroxy
35631	1-palmitoyl-GPE (16:0)	Lysophospholipid
38595	ranitidine	Drug
1356	nonadecanoate (19:0)	Long Chain Fatty Acid
42449	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Phosphatidylethanolamine (PE)
46115	21-hydroxypregnenolone disulfate	Steroid
48997	isoeugenol sulfate	Food Component/Plant
17769	sphinganine	Sphingolipid Metabolism
15581	xylose	Pentose Metabolism
46172	5alpha-pregnan-3(alpha or beta),20beta-diol disulfate	Steroid
42489	2-hydroxydecanoate	Fatty Acid, Monohydroxy
39271	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lysoplasmalogen
42021	fexofenadine	Drug
34428	1-palmitoyl-GPA (16:0)	Lysophospholipid
33442	pseudouridine	Pyrimidine Metabolism, Uracil containing
527	lactate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism
37182	5alpha-androstan-3alpha,17alpha-diol disulfate	Steroid
43807	bilirubin (Z,Z)	Hemoglobin and Porphyrin Metabolism
31453	cysteine	Methionine, Cysteine, SAM and Taurine Metabolism
32553	phenol sulfate	Tyrosine Metabolism
46146	4-methylcatechol sulfate	Benzoate Metabolism
53262	dihomo-linolenoyl-choline	Fatty Acid Metabolism (Acyl Choline)
22036	2-hydroxyoctanoate	Fatty Acid, Monohydroxy
21044	2-hydroxybutyrate (AHB)	Methionine, Cysteine, SAM and Taurine Metabolism
48267	palmitoyl-oleoyl-glycerophosphocholine (1)*	Lysolipid
40702	diglycerol	Chemical
48389	palmitoyl-palmitoyl-glycerophosphocholine (2)*	Lysolipid
15685	5-hydroxylysine	Lysine Metabolism
34399	3,7-dimethylurate	Xanthine Metabolism
37192	5alpha-androstan-3beta,17beta-diol monosulfate (2)	Steroid
33942	N-acetylasparagine	Alanine and Aspartate Metabolism
42459	sphingomyelin (d18:2/16:0, d18:1/16:1)*	Sphingolipid Metabolism
54907	hexanoylglutamine	Fatty Acid Metabolism (Acyl Glutamine)
18374	methionine sulfoxide	Methionine, Cysteine, SAM and Taurine Metabolism
47108	estriol-3-glucuronide	Steroid
1437	succinate	TCA Cycle
37063	gamma-glutamylalanine	Gamma-glutamyl Amino Acid
35128	ketamine	Drug
32349	4-imidazoleacetate	Histidine Metabolism
33447	palmitoleate (16:1n7)	Long Chain Fatty Acid
57655	2'-O-methyluridine	Pyrimidine Metabolism, Uracil containing
20676	maleate	Fatty Acid, Dicarboxylate
52685	1-(1-enyl-oleoyl)-2-arachidonoyl-GPE (P-18:1/20:4)*	Plasmalogen
47666	alpha-CEHC sulfate	Tocopherol Metabolism
31943	3-hydroxysebacate	Fatty Acid, Monohydroxy
38667	3-methylglutaconate	Leucine, Isoleucine and Valine Metabolism
1572	glycerate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism
35432	pivaloylcarnitine	Drug
33949	gamma-glutamylglycine	Gamma-glutamyl Amino Acid
46547	3-methylglutarylcarnitine (1)	Lysine Metabolism
18476	glycocholate	Primary Bile Acid Metabolism
34393	1-linolenoylglycerol (18:3)	Monoacylglycerol
1567	vanillylmandelate (VMA)	Tyrosine Metabolism
48387	stearoyl-linoleoyl-glycerophosphocholine (1)*	Lysolipid
1418	5,6-dihydrothymine	Pyrimidine Metabolism, Thymine containing
27665	1-methylnicotinamide	Nicotinate and Nicotinamide Metabolism
40062	4-hydroxy-2-oxoglutaric acid	Fatty Acid, Dicarboxylate
1868	cysteine	Methionine, Cysteine, SAM and Taurine Metabolism
41220	2-stearoyl-GPE (18:0)*	Lysophospholipid
57520	dihomo-linoleoylcarnitine (C20:2)*	Fatty Acid Metabolism(Acyl Carnitine)
4966	xylitol	Pentose Metabolism
48463	ethyl paraben sulfate	Chemical
52673	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	Plasmalogen
48394	pregnanolone/allopregnanolone sulfate	Steroid
32426	I-urobilinogen	Hemoglobin and Porphyrin Metabolism
18349	indolelactate	Tryptophan Metabolism
21049	1,6-anhydroglucose	Food Component/Plant
52446	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Phosphatidylethanolamine (PE)
33971	10-heptadecenoate (17:1n7)	Long Chain Fatty Acid
57637	carotene diol (3)	Food Component/Plant
1361	pentadecanoate (15:0)	Long Chain Fatty Acid
48429	methyl-4-hydroxybenzoate sulfate	Benzoate Metabolism
48445	2-methoxyresorcinol sulfate	Chemical
47890	7-hydroxycholesterol (alpha or beta)	Sterol
42446	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Phosphatidylcholine (PC)
36649	sucralose	Food Component/Plant
42109	phosphate	Oxidative Phosphorylation
48490	sphingomyelin (d18:1/20:0, d16:1/22:0)*	Sphingolipid Metabolism
42040	5-hydroxymethyl-2-furoic acid	Tyrosine Metabolism
42370	S-1-pyrroline-5-carboxylate	Glutamate Metabolism
33384	salicyluric glucuronide*	Drug
57704	cephalexin 	Drug
19324	1-stearoyl-GPI (18:0)	Lysophospholipid
38768	15-methylpalmitate	Fatty Acid, Branched
21151	saccharin	Food Component/Plant
48580	2-acetamidophenol sulfate	Drug
33441	isobutyrylcarnitine (C4)	Leucine, Isoleucine and Valine Metabolism
36594	1-linoleoyl-GPI (18:2)*	Lysophospholipid
52235	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	Phosphatidylserine (PS)
35635	3-(3-hydroxyphenyl)propionate	Benzoate Metabolism
31536	N-(2-furoyl)glycine	Food Component/Plant
1589	N-acetylmethionine	Methionine, Cysteine, SAM and Taurine Metabolism
38276	2,3-dihydroxyisovalerate	Food Component/Plant
1412	2'-deoxyuridine	Pyrimidine Metabolism, Uracil containing
27513	indoleacetate	Tryptophan Metabolism
15753	hippurate	Benzoate Metabolism
48442	4-vinylguaiacol sulfate	Food Component/Plant
52604	N-palmitoyl-sphinganine (d18:0/16:0)	Sphingolipid Metabolism
57365	myristoyl dihydrosphingomyelin (d18:0/14:0)*	Sphingolipid Metabolism
17662	estriol	Steroid
573	cytosine	Pyrimidine Metabolism, Cytidine containing
12122	naproxen	Drug
15737	glycolate (hydroxyacetate)	Chemical
48188	alpha-CEHC	Tocopherol Metabolism
40473	hydantoin-5-propionic acid	Histidine Metabolism
18280	gentisate	Tyrosine Metabolism
34384	stachydrine	Food Component/Plant
32350	1-methylimidazoleacetate	Histidine Metabolism
22158	citramalate	Glutamate Metabolism
43549	N-formylanthranilic acid	Tryptophan Metabolism
1364	lignocerate (24:0)	Long Chain Fatty Acid
47153	sphingomyelin (d18:1/24:1, d18:2/24:0)*	Sphingolipid Metabolism
39346	alpha-CEHC glucuronide*	Tocopherol Metabolism
47031	2-methoxyacetaminophen sulfate*	Drug
3147	xanthine	Purine Metabolism, (Hypo)Xanthine/Inosine containing
52687	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	Phosphatidylethanolamine (PE)
36812	1-oleoyl-GPA (18:1)	Lysophospholipid
46111	O-methylcatechol sulfate	Benzoate Metabolism
1806	retinol (Vitamin A)	Vitamin A Metabolism
42382	S-adenosylhomocysteine (SAH)	Methionine, Cysteine, SAM and Taurine Metabolism
48408	tyramine O-sulfate	Tyrosine Metabolism
33936	octanoylcarnitine (C8)	Fatty Acid Metabolism(Acyl Carnitine)
46164	3-methyl catechol sulfate (2)	Benzoate Metabolism
52438	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Phosphatidylcholine (PC)
43761	2-aminoheptanoate	Fatty Acid, Amino
52453	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	Phosphatidylcholine (PC)
437	5-hydroxyindoleacetate	Tryptophan Metabolism
57564	perfluorooctanesulfonic acid (PFOS)	Chemical
52748	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	Plasmalogen
47154	sphingomyelin (d18:2/14:0, d18:1/14:1)*	Sphingolipid Metabolism
4970	anthranilate	Tryptophan Metabolism
64	phenylalanine	Phenylalanine Metabolism
33443	valerate	Short Chain Fatty Acid
43028	tryptophylglycine	Dipeptide
42463	sphingomyelin (d18:1/14:0, d16:1/16:0)*	Sphingolipid Metabolism
35172	orotidine	Pyrimidine Metabolism, Orotate containing
45428	N-acetylmethionine sulfoxide	Methionine, Cysteine, SAM and Taurine Metabolism
48153	mannose	Fructose, Mannose and Galactose Metabolism
34389	1-methylxanthine	Xanthine Metabolism
54999	1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*	Lysoplasmalogen
15872	malonate	Fatty Acid Synthesis
31938	5-hydroxyhexanoate	Fatty Acid, Monohydroxy
1566	3-aminoisobutyrate	Pyrimidine Metabolism, Thymine containing
37210	androstenediol (3beta,17beta) monosulfate (2)	Steroid
21320	ofloxacin	Drug
396	glutarate (pentanedioate)	Fatty Acid, Dicarboxylate
48733	vanillic alcohol sulfate	Tyrosine Metabolism
18467	eicosapentaenoate (EPA; 20:5n3)	Polyunsaturated Fatty Acid (n3 and n6)
53174	1,2-dilinoleoyl-GPE (18:2/18:2)*	Phosphatidylethanolamine (PE)
37181	4-allylphenol sulfate	Food Component/Plant
37455	glycerophosphoethanolamine	Phospholipid Metabolism
57475	sphingomyelin (d18:1/19:0, d19:1/18:0)*	Sphingolipid Metabolism
48757	N-acetylkynurenine (2)	Tryptophan Metabolism
34419	1-linoleoyl-GPC (18:2)	Lysophospholipid
43343	2-aminooctanoate	Fatty Acid, Amino
34214	1-arachidonoyl-GPI (20:4)*	Lysophospholipid
48990	pyruvate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism
1559	5,6-dihydrouracil	Pyrimidine Metabolism, Uracil containing
57440	ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*	Ceramides
48149	N-acetylglucosaminylasparagine 	Aminosugar Metabolism
46957	gulonate*	Ascorbate and Aldarate Metabolism
21107	5-sulfosalicylate	Drug
33080	N-ethylglycinexylidide	Drug
15720	N-acetylglutamate	Glutamate Metabolism
53220	1-eicosapentaenoylglycerol (20:5)*	Monoacylglycerol
12125	behenate (22:0)*	Long Chain Fatty Acid
38168	16a-hydroxy DHEA 3-sulfate	Steroid
57483	sphingomyelin (d17:2/16:0, d18:2/15:0)*	Sphingolipid Metabolism
34395	1-methylurate	Xanthine Metabolism
46331	desmethylnaproxen	Drug
57512	margaroylcarnitine*	Fatty Acid Metabolism(Acyl Carnitine)
1444	pipecolate	Lysine Metabolism
48303	oleoyl-linoleoyl-glycerophosphoinositol (1)*	Lysolipid
1769	cortisone	Steroid
48276	palmitoyl-palmitoyl-glycerophosphocholine (1)*	Lysolipid
57464	stearoylcholine*	Fatty Acid Metabolism (Acyl Choline)
32415	docosadienoate (22:2n6)	Polyunsaturated Fatty Acid (n3 and n6)
43266	2-aminophenol sulfate	Chemical
42450	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Phosphatidylcholine (PC)
52914	5-hydroxyindole sulfate	Tryptophan Metabolism
18281	2-hydroxyhippurate (salicylurate)	Benzoate Metabolism
1358	stearate (18:0)	Long Chain Fatty Acid
42448	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Phosphatidylethanolamine (PE)
31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Fatty Acid, Dicarboxylate
38125	4-cholesten-3-one	Sterol
19263	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Phosphatidylethanolamine (PE)
52450	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Phosphatidylinositol (PI)
15749	3-phenylpropionate (hydrocinnamate)	Benzoate Metabolism
42994	glutamine-leucine	Dipeptide
485	spermidine	Polyamine Metabolism
35255	2-stearoyl-GPC (18:0)*	Lysolipid
35174	mead acid (20:3n9)	Polyunsaturated Fatty Acid (n3 and n6)
53224	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	Fatty Acid Metabolism(Acyl Carnitine)
52468	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	Phosphatidylinositol (PI)
48393	stearoyl-arachidonoyl-glycerophosphocholine (2)*	Lysolipid
36808	dimethylarginine (SDMA + ADMA)	Urea cycle; Arginine and Proline Metabolism
31539	O-acetylhomoserine	Glycine, Serine and Threonine Metabolism
15704	pimelate (heptanedioate)	Fatty Acid, Dicarboxylate
43249	N-delta-acetylornithine	Urea cycle; Arginine and Proline Metabolism
32836	HWESASXX*	Polypeptide
52987	N1,N12-diacetylspermine	Polyamine Metabolism
22250	pyruvate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism
15835	xylose	Pentose Metabolism
32417	docosatrienoate (22:3n3)	Polyunsaturated Fatty Acid (n3 and n6)
34365	3-(cystein-S-yl)acetaminophen*	Drug
15730	suberate (octanedioate)	Fatty Acid, Dicarboxylate
48441	4-hydroxychlorothalonil	Chemical
57477	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	Sphingolipid Metabolism
22130	phenyllactate (PLA)	Phenylalanine Metabolism
554	adenine	Purine Metabolism, Adenine containing
52938	3-hydroxystearate	Fatty Acid, Monohydroxy
35437	isobutyrylglycine	Leucine, Isoleucine and Valine Metabolism
52634	palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*	Diacylglycerol
43507	3b-hydroxy-5-cholenoic acid	Secondary Bile Acid Metabolism
40459	escitalopram	Drug
57636	carotene diol (2)	Food Component/Plant
44619	fluoxetine	Drug
20693	tartronate (hydroxymalonate)	Bacterial/Fungal
1651	pyridoxal	Vitamin B6 Metabolism
12035	pelargonate (9:0)	Medium Chain Fatty Acid
43265	phenylcarnitine*	Chemical
1638	arginine	Urea cycle; Arginine and Proline Metabolism
32388	dodecanedioate	Fatty Acid, Dicarboxylate
55	beta-alanine	Pyrimidine Metabolism, Uracil containing
44621	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lysoplasmalogen
42079	valylglutamine	Dipeptide
57513	arachidoylcarnitine (C20)*	Fatty Acid Metabolism(Acyl Carnitine)
1114	deoxycholate	Secondary Bile Acid Metabolism
37092	gamma-glutamyl-2-aminobutyrate	Gamma-glutamyl Amino Acid
1898	proline	Urea cycle; Arginine and Proline Metabolism
601	dihydroorotate	Pyrimidine Metabolism, Orotate containing
55072	2-oxoarginine*	Urea cycle; Arginine and Proline Metabolism
1123	inosine	Purine Metabolism, (Hypo)Xanthine/Inosine containing
1563	chenodeoxycholate	Primary Bile Acid Metabolism
57330	lignoceroyl sphingomyelin (d18:1/24:0)	Sphingolipid Metabolism
53034	14-HDoHE/17-HDoHE	Fatty Acid, Monohydroxy
52470	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Phosphatidylcholine (PC)
38116	indole-3-carboxylic acid	Tryptophan Metabolism
52669	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	Phosphatidylinositol (PI)
17747	sphingosine	Sphingolipid Metabolism
53230	3-hydroxyhexanoate	Fatty Acid, Monohydroxy
54945	oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*	Diacylglycerol
48885	arabitol/xylitol	Pentose Metabolism
46799	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	Diacylglycerol
15335	mannitol	Fructose, Mannose and Galactose Metabolism
1899	quinolinate	Nicotinate and Nicotinamide Metabolism
39600	3-hydroxyhippurate	Benzoate Metabolism
1494	5-oxoproline	Glutathione Metabolism
42095	palmitic amide	Fatty Acid, Amide
590	hypotaurine	Methionine, Cysteine, SAM and Taurine Metabolism
48679	N-acetylhistamine	Histidine Metabolism
35702	beta-tocopherol	Tocopherol Metabolism
22177	levulinate (4-oxovalerate)	Food Component/Plant
1591	N-acetylvaline	Leucine, Isoleucine and Valine Metabolism
1640	ascorbate (Vitamin C)	Ascorbate and Aldarate Metabolism
53240	sulfamethoxazole	Drug
37475	4-acetaminophen sulfate	Drug
47120	9-hydroxystearate	Fatty Acid, Monohydroxy
1712	cortisol	Steroid
41754	heme	Hemoglobin and Porphyrin Metabolism
48428	pyrraline	Food Component/Plant
15336	tartarate	Food Component/Plant
52605	sphinganine-1-phosphate	Sphingolipid Metabolism
48282	stearoyl-arachidonoyl-glycerophosphoinositol (1)*	Lysolipid
35669	tetradecanedioate	Fatty Acid, Dicarboxylate
45951	1-linolenoyl-GPC (18:3)*	Lysophospholipid
52340	N-carbamoylalanine	Alanine and Aspartate Metabolism
47114	ferulic acid 4-sulfate	Food Component/Plant
38075	arabitol	Pentose Metabolism
48385	palmitoyl-linoleoyl-glycerophosphocholine (1)*	Lysolipid
20699	erythritol	Food Component/Plant
35638	xylonate	Pentose Metabolism
22842	cholate	Primary Bile Acid Metabolism
52433	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	Sphingolipid Metabolism
52459	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)	Phospholipid Metabolism
54960	oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*	Diacylglycerol
37184	5alpha-androstan-3alpha,17beta-diol disulfate	Steroid
34420	bradykinin, des-arg(9)	Polypeptide
31548	DSGEGDFXAEGGGVR*	Fibrinogen Cleavage Peptide
52495	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	Sphingolipid Metabolism
52608	linoleoyl ethanolamide	Endocannabinoid
53013	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	Ceramides
52294	2-hydroxyglutarate	Fatty Acid, Dicarboxylate
52434	palmitoyl dihydrosphingomyelin (d18:0/16:0)*	Sphingolipid Metabolism
43591	N2,N5-diacetylornithine	Urea cycle; Arginine and Proline Metabolism
32506	2-linoleoylglycerol (18:2)	Monoacylglycerol
43378	S-methylcysteine sulfoxide	Methionine, Cysteine, SAM and Taurine Metabolism
37496	N-acetylputrescine	Polyamine Metabolism
1552	erucate (22:1n9)	Long Chain Fatty Acid
42613	famotidine	Drug
18362	azelate (nonanedioate)	Fatty Acid, Dicarboxylate
53260	oleoylcholine	Fatty Acid Metabolism (Acyl Choline)
1585	N-acetylalanine	Alanine and Aspartate Metabolism
47155	glycerophosphoinositol*	Phospholipid Metabolism
33973	epiandrosterone sulfate	Steroid
39378	tauroursodeoxycholate	Secondary Bile Acid Metabolism
553	cotinine	Tobacco Metabolite
1504	nicotinate	Nicotinate and Nicotinamide Metabolism
48569	acesulfame	Food Component/Plant
44657	HWESASLLR	Polypeptide
43530	N-acetyl-cadaverine	Lysine Metabolism
39779	11-dehydrocorticosterone	Steroid
35819	2-palmitoleoyl-GPC (16:1)*	Lysophospholipid
58	glycine	Glycine, Serine and Threonine Metabolism
38686	gabapentin	Drug
33009	homostachydrine*	Food Component/Plant
35855	ribulose	Pentose Metabolism
1508	pantothenate	Pantothenate and CoA Metabolism
1303	malate	TCA Cycle
35639	vanillate	Food Component/Plant
38127	S-methylmethionine	Methionine, Cysteine, SAM and Taurine Metabolism
42395	undecanedioate	Fatty Acid, Dicarboxylate
48425	phenylacetylcarnitine	Acetylated Peptides
39837	docosadioate	Fatty Acid, Dicarboxylate
48674	umbelliferone sulfate	Food Component/Plant
52929	3,4-methyleneheptanoylcarnitine	Fatty Acid Metabolism(Acyl Carnitine)
48762	1,2,3-benzenetriol sulfate (2)	Chemical
52970	ursodeoxycholate sulfate (1)	Secondary Bile Acid Metabolism
30460	1-methylhistidine	Histidine Metabolism
35527	4-hydroxyhippurate	Benzoate Metabolism
57641	levetiracetam	Drug
57480	sphingomyelin (d18:2/21:0, d16:2/23:0)*	Sphingolipid Metabolism
2342	serotonin	Tryptophan Metabolism
40020	lysylleucine	Dipeptide
33937	alpha-hydroxyisovalerate	Leucine, Isoleucine and Valine Metabolism
39730	N-stearoyltaurine	Endocannabinoid
35625	1-myristoylglycerol (14:0)	Monoacylglycerol
39587	3-(4-hydroxyphenyl)propionate	Phenylalanine and Tyrosine Metabolism
38100	betonicine	Food Component/Plant
37058	succinylcarnitine (C4-DC)	TCA Cycle
39270	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lysoplasmalogen
